MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Dushman Devta,1991,9,0
Race,2008,113,49
I Am,2011,21,1
Hum Tumhare Hain Sanam,2002,71,41
Chhoti Si Baat,1975,29,6
Saat Rang Ke Sapne,1997,20,6
Main Aisa Hi Hoon,2005,28,12
Pyaar Diwana Hota Hai,2002,15,0
Jaag Utha Insan,1984,21,10
Lakshya,2004,35,8
Raaz 3,2012,19,66
Heera Panna,1973,9,7
Thoda Pyaar Thoda Magic,2008,7,64
Charandas,1977,25,3
Fakira,1976,0,0
Chor Aur Chaand,1993,18,18
Prem Qaidi,1991,21,3
Bardaasht (2004 film),2004,27,2
Yeh Khula Aasmaan,2012,9,0
Cash,2007,115,45
Balidaan (1985 film),1985,25,9
Mr. X,2015,57,18
Paan Singh Tomar,2012,65,3
Once Upon a Time in Mumbaai,2010,131,4
Rajput,1982,153,60
Bhoot Returns,2012,10,4
Priyatama,1977,0,7
Andha Kanoon,1983,13,0
Bombay Boys (1998 film),1998,4,0
Moh Maya Money,2016,12,0
Chhalia,1973,17,8
Yash (1996 film),1996,35,3
Rahasya,2015,2,0
Aadharshila,1982,0,2
Katha,1983,21,0
Aisi Bhi Kya Jaldi Hai,1996,33,25
Abhimaan (1973 film),1973,12,9
Insaan,1982,21,5
Meera Ka Mohan,1992,24,25
Once Upon Ay Time In Mumbai Dobaara!,2013,215,28
Bumm Bumm Bole,2010,33,5
Baghban,2003,39,20
Ardh Satya,1983,95,9
Saas Bahu Aur Sensex,2008,7,8
Raqeeb,2007,24,13
Fiffty Fiffty,1981,24,5
Aaina,1977,12,17
Aap Ki Khatir (2006 film),2006,39,40
Hamare Tumhare,1979,4,3
Oye Lucky! Lucky Oye!,2008,13,3
Tere Mere Phere,2011,2,0
Chalo Dilli,2011,4,7
Peepli Live,2010,80,3
Aap Ki Kasam,1974,9,0
Main Khiladi Tu Anari,1994,33,41
Ghar Dwaar,1985,1,0
Heroine,2012,24,29
Asoka,2001,103,15
Halla Bol,2008,1,0
Mujhse Shaadi Karogi,2004,117,27
Mahaanta,1997,19,11
Dil Ka Rishta,2003,54,98
Hanuman Da' Damdaar,2017,8,4
U Me Aur Hum,2008,71,24
Joshila,1973,10,10
Geet (1992 film),1992,4,15
Tarang (film),1984,12,0
Talaash,2012,106,28
Laadla (film),1994,43,52
Deewaar (2004 film),2004,10,0
Kisna: The Warrior Poet,2005,11,27
Bheja Fry 2,2011,31,4
Masti,2004,7,10
Amrit (film),1986,30,23
Entertainment,2014,118,17
Action Jackson (2014 film),2014,43,19
Rush,2012,10,0
Anari,1975,18,0
Phir Wohi Raat,1980,9,5
Gomti Ke Kinare,1972,9,1
Maa (1992 Hindi film),1991,45,63
Rangoon (2017 film),2017,64,69
Badhaai Ho Badhaai,2002,6,3
Dangal (film),2016,29,54
Raaz (2002 film),2002,34,66
Mehndi Rang Layegi,1982,15,10
Nagina (1986 film),1986,24,13
Kachche Heere,1982,20,3
Isi Ka Naam Zindagi,1992,18,0
Bas Itna Sa Khwaab Hai,2001,9,22
Madhoshi,2004,27,20
Dhoom 2,2006,13,46
Tyaag,1977,74,68
Meri Aawaz Suno,1981,39,4
The Lunchbox,2013,32,35
Maazii,2013,9,0
Jay Vejay,1977,10,0
Hanste Zakhm,1973,29,46
Hatim Tai,1990,15,0
Pataal Bhairavi,1985,39,6
Mehbooba,1976,25,16
Kitaab,1977,0,11
Maidan-E-Jung,1995,0,0
Paar,1984,5,2
Alag,2006,19,5
Golmaal 3,2010,20,10
Bambai Ka Babu,1996,96,18
Saboot,1980,21,7
Ok Jaanu,2017,17,13
Raja Natwarlal,2014,30,13
Rocky  The Rebel,2006,43,5
Meenaxi: A Tale of Three Cities,2004,4,3
Raja Ki Aayegi Baraat,1996,42,57
Pankh,2010,6,6
Aahat,1974,3,1
Wafadaar,1985,3,0
Maya,2001,0,1
Force 2,2016,57,9
Mr. Natwarlal,1979,8,0
Chala Murari Hero Banne,1977,16,0
Daddy Cool,2009,29,1
Vachan,1974,13,19
Jal (film),2014,1,0
Gunda,1998,129,16
Khiladi 786,2012,58,13
1920 London,2016,66,29
Zulm Ki Hukumat,1992,15,0
Hatyara (1998 film),1998,10,0
Sun Sajna,1982,88,88
Suryavanshi (film),1992,44,36
Diljale,1996,177,37
Love and God,1986,34,24
