MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Jo Hum Chahein,2011,49,37
Dulhan Hum Le Jayenge,2000,5,16
Tahalka,1992,81,9
Jeet (1996 film),1996,14,6
Guzaarish,2010,52,6
Eklavya: The Royal Guard,2007,59,10
Vaada,2005,172,0
Abhinay Chakra,2014,6,0
Chingaari,2006,19,23
Shootout at Wadala,2013,62,2
C Kkompany,2008,36,0
Baadal,1985,0,1
Munna Michael,2017,1,0
The Film Emotional Atyachar,2010,3,0
Meri Biwi Ki Shaadi,1979,2,3
Lootera,2013,28,16
Iqraar By Chance,2006,4,16
Mangal Pandey: The Rising,2005,28,0
Yeh Mera India,2009,10,17
Umrika,2016,1,12
Raampur Ka Lakshman,1972,32,0
International Crook,1974,0,0
Shakka,1981,0,10
Dostana,1980,28,0
Jai Santoshi Maa,1975,5,34
Hathkadi,1995,41,10
Aunty No. 1,1998,7,4
Phata Poster Nikla Hero,2013,53,19
Meri Jung,1985,86,32
Tirangaa,1992,54,0
Memories in March,2011,9,0
Aa Ab Laut Chalen,1999,226,61
Maximum,2012,56,5
Suhaagan,1986,18,17
Zalzala (1988 film),1988,22,0
Desh Premee (1982 film),1982,18,5
Zulmi,1999,19,1
Traffic Signal,2007,17,1
Aaj (1987 film),1987,14,11
Kahani Kismat Ki,1973,5,2
Pestonjee,1988,30,11
The Xpose,2014,15,20
Sapnay,1997,30,36
Aan Milo Sajna,1970,13,17
Kuch Khatti Kuch Meethi,2001,2,61
Akele Hum Akele Tum,1995,35,27
Apradhi Kaun,2000,4,0
Himmatwala (2013 film),2013,44,78
Ankur,1974,32,42
Crazy Cukkad Family,2015,1,2
Nishana (1995 film),1995,0,0
My Brother...Nikhil,2005,38,8
Shakalaka Boom Boom,2007,45,14
Rishta To Ho Aisa,1992,26,17
Kuch Naa Kaho,2003,16,66
Jalwa,1987,8,0
Lakeer - Forbidden Lines,2004,136,0
Aastha: In the Prison of Spring,1997,3,4
Mumbai Xpress,2005,15,0
Teri Bahon Mein,1984,3,0
Deedar,1992,5,7
Basti,2003,74,3
Nauker,1979,29,7
Disco Dancer,1982,12,0
Auzaar,1997,29,0
Mr. Singh / Mrs. Mehta,2010,30,37
Anwar,2007,0,18
Kartoos,1999,17,2
Mujhse Dosti Karoge!,2002,50,60
Patton Ki Bazi,1986,3,0
Sindoor,1987,57,145
Dharm Adhikari,1986,23,11
Zara Si Zindagi,1983,82,26
Jeeo Shaan Se,1997,16,0
Kaalo,2010,10,9
Hanste Khelte,1994,5,0
Hai Apna Dil Toh Awara,2016,10,1
Khandhar,1984,1,6
Sheahnaag,1990,25,8
Bullett Raja,2013,75,4
Aisha,2010,19,71
Kaho Naa... Pyaar Hai,2000,71,41
Keemat (film),1973,11,12
Sarhad Paar,2007,57,5
Bunty Aur Babli,2005,10,38
Pyari Behna,1985,8,7
Lal Patthar,1971,7,5
Yun Hota Toh Kya Hota,2006,11,7
Saazish,1975,9,0
Bareilly Ki Barfi,2017,2,1
Bhopal: A Prayer for Rain,2014,64,2
Dil Ka Doctor,1995,0,0
Aatank Hi Aatank,1995,27,9
Baaghi,2000,23,0
Noorie,1979,17,19
The Ghazi Attack (film),2017,63,0
Jeet Hamaari,1983,14,0
Amit Sahni Ki List,2014,0,3
Khel (2003 film),2003,6,5
Mast (film),1999,43,25
Lingaa,2014,109,8
Margarita with a Straw,2015,1,69
Yaara Silly Silly,2015,9,22
Umrao Jaan (2006 film),2006,20,74
Hogi Pyaar Ki Jeet,1999,13,16
Mrityudata,1997,112,10
Ek Ghar,1991,4,3
Freaky Ali,2016,101,11
Dum Maaro Dum,2011,47,60
Aa Dekhen Zara,2009,16,0
Pyaar Ke Side Effects,2006,20,20
Caravan,1971,5,19
Albela (1971 film),1971,10,1
Zubeidaa (2001 film),2001,29,27
Kalabaaz,1977,6,8
Chor Police,1983,4,0
Yateem,1988,4,6
Kal Ho Naa Ho,2003,39,88
Lootmaar,1980,7,0
Tum Bin 2,2016,106,65
Armaan,2003,24,19
Mumbai Mast Kallander,2011,0,0
Khichdi: The Movie,2010,20,8
Dil Kya Kare,1999,24,54
Dhund,1973,76,59
Anjaam,2007,73,69
What's Your Raashee?,2009,131,33
Matrubhoomi: A Nation Without Women,2003,12,11
Prem Kahani,1975,21,0
Golmaal: Fun Unlimited,2006,56,15
Soch,2002,0,8
Muqabla,1993,10,4
Shaitani Ilaaka,1990,35,68
Qurbani,1980,11,7
Chambal Ki Kasam,1980,4,0
Mohabbat,1985,21,8
Pratibandh,1990,16,2
Waarrior Savitri,2016,1,2
Bhagwaan Dada,1986,190,40
Vinashak - Destroyer,1998,96,0
Thalapathi,1991,80,32
Dhanwan (1981 film),1981,26,7
Saaransh,1984,22,83
Sainik,1993,9,0
Hawas,1974,9,7
Hum Kisise Kum Nahin,2002,42,6
Goonj (1974 film),1974,63,67
Prateeksha,1993,14,12
Goliyon Ki Rasleela Ram-Leela,2013,28,35
Anokha Bandhan,1982,1,27
Aakhir Kyon?,1985,20,61
Agar Tum Na Hote,1983,31,43
Trishakti,1999,26,0
Qissa,2015,90,108
Vishwatma (1992 film),1992,74,0
Chillar Party,2011,7,0
Boss (2013 Hindi film),2013,89,30
Bobby (1973 film),1973,53,8
Love Love Love (1989 film),1989,64,20
Ginny Aur Johnny,1976,9,8
Sultan (2016 film),2016,50,9
Aap Ki Khatir,1977,6,1
Aurangzeb,2013,182,30
Tahaan,2008,16,0
My Name Is Khan,2010,57,14
Hum,1991,60,17
Taarzan: The Wonder Car,2004,59,22
Amar Prem,1971,80,39
Genesis (1986 film),1986,0,2
Faraar,1975,12,4
Mirch,2010,150,56
Bhram,2007,0,4
Housefull,2010,75,51
Dosti: Friends Forever,2005,34,5
Aashiqui,1990,49,43
Love 86,1986,0,6
Majboor,1974,21,1
Daata,1989,18,5
Uphaar,1971,0,89
Zanjeer,1973,95,26
Kadambari,1976,8,7
Kagaar: Life on the Edge,2003,0,2
Ek Duuje Ke Liye,1981,19,17
Kasum Khoon Ki,1977,30,4
Samay: When Time Strikes,2003,34,50
Kathputli,1971,7,6
Welcome,2007,40,24
Aadmi,1993,15,1
Quick Gun Murugun,2009,10,11
One Night Stand (2016 film),2016,54,38
Chal Chala Chal,2009,14,0
Bade Dilwala,1999,14,2
Khap,2011,2,19
Chokher Bali,2003,19,14
Abhay,2001,122,29
Anuraag (1972 film),1972,9,8
Bombay to Bangkok,2008,8,5
De Taali,2008,46,7
Inkaar,1977,23,2
Popcorn Khao! Mast Ho Jao,2004,10,6
Ajnabee,2001,63,27
Dharm Aur Qanoon,1984,93,5
Pakeezah (1972 film),1972,12,51
Ek Rishtaa: The Bond of Love,2001,52,21
Yeh Raat Phir Na Aayegi,1992,0,1
Ragini MMS,2011,34,50
Shararat,2002,3,16
Betaaj Badshah,1994,14,0
Karam,2005,23,0
Roti Kapda Aur Makaan,1974,40,14
Bluffmaster!,2005,9,8
Maachis,1996,116,18
Haan Maine Bhi Pyaar Kiya,2002,7,52
De Dana Dan',2009,90,21
Yaaron Ka Yaar,1977,6,0
Raat Gayi Baat Gayi?,2009,7,1
Swarag Se Sunder,1986,65,26
712 Phere,2005,9,0
Zokkomon,2011,6,0
Angel,2011,39,15
W (2014 film),2014,0,0
Gaon Hamara Shaher Tumhara,1972,26,7
Machine (2017 film),2017,5,46
Jawani Diwani,2006,28,6
Mohre,1987,6,1
Hunterrr,2015,66,57
Dil To Pagal Hai,1997,34,44
Fun 2shh: Dudes in the 10th Century,2003,14,0
Ek Chalis Ki Last Local,2007,23,7
Jaanwar,1983,65,44
Zinda (film),2006,57,5
Dahek,1999,24,19
Jaan Se Pyaara,1992,29,0
Kanwarlal,1988,5,0
Neerja,2016,8,29
Begum Jaan,2017,16,39
Phir Kabhi,2009,11,4
Shor in the City,2011,23,1
Angoor (1982 film),1982,6,2
Shaadi Ke Baad,1972,10,5
Laal Rang,2016,16,5
Raghu Romeo,2003,4,3
Baahubali 2: The Conclusion,2017,97,45
Shortkut,2009,26,0
Mehboob Ki Mehndi,1971,11,9
Criminal (1995 film),1995,10,5
Dharti Kahe Pukar Ke,2006,25,0
Girlfriend,2004,13,25
Dil-E-Nadaan,1982,44,49
Johnny Gaddar,2007,19,9
Haaledil,2008,4,4
Phhir,2011,106,25
Sarkari Mehmaan,1979,17,0
Gair,1999,2,0
Grahan,1972,13,20
Anari No.1,1999,14,4
Romance,1983,4,12
Wajood,1998,30,18
Mahashakti,1980,16,0
Hanste Khelte,1984,3,0
Mausam,1975,6,15
Kehtaa Hai Dil Baar Baar,2002,10,4
Saheb Bahadur,1977,6,3
A Decent Arrangement,2014,0,2
Robot,2010,67,20
Chup Chup Ke,2006,65,28
Dhanak,2016,2,0
Ishqedarriyaan,2015,0,0
Jo Bole So Nihaal,2005,30,3
Prem Kaa Game,2010,8,4
Aligarh (film),2016,1,0
Ferrari Ki Sawaari,2012,18,0
Banphool,1971,33,6
Namkeen,1982,10,25
Shor (1972 film),1972,23,0
Chhodon Naa Yaar,2007,3,0
Dildaar,1977,15,11
Aandhiyan,1990,2,0
Say Yes to Love,2012,6,1
Zaroorat,1972,16,5
Shart (1986 film),1986,4,0
Satta,2003,3,7
Ghar Ki Izzat,1994,9,6
Dost,1974,16,2
Chehraa (2005 film),2005,0,15
Runningshaadi.com,2017,37,9
Love Aaj Kal,2009,28,38
Ajab Gazabb Love,2012,6,3
Awwal Number,1990,9,0
Udhar Ka Sindur,1976,14,10
Chachi 420,1997,60,76
Om-Dar-Ba-Dar,2014,7,0
Lajja,2001,62,75
Dhol,2007,30,19
Raakh,1989,36,6
Hostel,2011,45,0
Judaai,1980,13,21
Jeete Hain Shaan Se,1988,9,1
Fareb (2005 film),2005,17,12
Dushman Zamana,1992,5,25
Prithvi (1997 film),1997,13,14
The Great Gambler,1979,33,3
Aashiq Banaya Aapne,2005,21,22
Pyaar Mein Kabhi Kabhi,1999,2,6
Majaal,1987,10,5
Badmashiyaan,2015,75,34
Hitler,1998,68,13
Force (2011 film),2011,56,27
Kabhie Kabhie (1976 film),1976,9,20
Garam Masala (1972 film),1972,114,0
Bhayaanak,1979,0,19
Shivaay,2016,38,25
Fredrick (2016 film),2016,2,0
Student Of The Year,2012,65,17
Naughty @ 40,2011,27,10
Teen Patti (film),2010,36,0
Elaan,1971,21,9
Zindagi Ek Juaa,1992,12,0
Star,1982,30,3
Yeh Faasley,2011,7,34
Rascals,2011,52,10
Ta Ra Rum Pum,2007,17,55
Style,2001,5,3
Betaab,1983,20,5
Suhana Safar,1970,6,10
Shakti,1982,9,0
Imaandaar,1987,19,10
From Sydney with Love,2012,0,11
Saudagar,1973,46,3
Ek Tha Tiger,2012,32,16
Dil Maange More,2004,20,31
Utsav,1984,1,0
Geeta Mera Naam,1974,6,7
Lamhe,1991,48,101
Phas Gaye Re Obama,2010,64,8
Taj Mahal: An Eternal Love Story,2005,145,32
Aap Mujhe Achche Lagne Lage,2002,23,10
Rajjo,2013,15,10
The Blue Umbrella,2007,27,22
Jhooth Bole Kauwa Kaate,1998,4,2
Mrigayaa,1976,14,1
Salaam Namaste,2005,41,35
Parasmani,1992,37,10
Kaalia,1981,34,8
Sailaab,1990,17,10
Yehi Hai Zindagi,1977,17,2
Duvidha,1973,0,0
Rocky,1981,35,5
Ganga Ki Saugandh,1978,32,3
Hero Hindustani,1998,17,8
Sagina,1974,1,0
Satya,1998,97,14
Right Yaaa Wrong,2010,25,1
Kamla,1984,6,0
Go (2007 film),2007,3,2
Teesra Kaun?,1994,21,2
Red: The Dark Side,2007,5,0
Aap Ke Deewane,1980,3,1
Baadshah,1999,171,87
Afsana Do Dilon Ka,1982,7,2
Rakta Bandhan,1984,2,0
Agneepath (2012 film),2012,101,8
Dulaara,1994,85,28
Goliyon Ki Raasleela Ram-Leela,2013,28,35
Kalicharan,1976,34,0
Chooriyan,1993,0,3
Lakshmi,1982,9,32
Pyaar To Hona Hi Tha,1998,38,62
Junooniyat,2016,5,39
Fukrey,2013,125,33
Happy Husbands,2011,33,16
Miley Naa Miley Hum,2011,8,6
Insaaf: The Justice,2004,38,1
The Burning Train,1980,82,15
Aflatoon,1997,38,5
Jail,2009,18,1
Ishq Hai Tumse,2004,25,13
Himalay Putra,1997,35,16
Adharm (2006 film),2006,0,0
Keemat  They Are Back,1998,11,12
Mere Do Anmol Ratan,1998,3,0
Koi Aap Sa,2005,19,28
Meerabai Not Out,2008,0,10
Pratikar,1991,21,15
Ek Hi Raasta,1977,26,15
Yeh Hai India,2017,0,0
Parwana (2003 film),2003,25,0
Cigarette Ki Tarah,2012,0,1
Mr. Bechara,1996,33,39
The Gambler (1995 film),1995,8,0
Ada... A Way of Life,2010,8,1
Zakhmee,1975,10,0
My Bollywood Bride,2007,27,21
Aisa Kyon Hota Hai,2006,8,0
Jab We Met,2007,53,44
Prem Tapasya,1983,30,23
Dor,2006,27,96
Koshish (1972 film),1972,1,1
Kaash,1987,15,14
Jazbaa,2015,17,54
3 A.M.,2014,11,4
Awara Baap,1985,117,43
Mandi (film),1983,2,56
Holiday (2014 film),2014,41,5
Kisaan,2009,26,4
Phool Aur Kaante,1991,11,0
Pyaar Ki Jeet,1987,10,19
Jeevan Yudh,1997,27,5
Humko Deewana Kar Gaye,2006,51,49
Nasha,2013,91,50
Pardesi Babu,1998,1,0
Dhadkan,2000,13,22
Vishwaroop,2013,27,7
X,2015,40,12
Mawaali,1983,11,6
Yeh Jawaani Hai Deewani,2013,128,0
Maine Pyar Kiya,1989,84,28
Deewana Mujh Sa Nahin,1990,10,14
Sannata,1981,5,3
Mitr  My Friend,2002,0,71
Sooryavansham,1999,233,68
Badlapur Boys,2014,7,0
Gali Gali Chor Hai,2012,33,1
Daud,1997,4,0
Dhoondte Reh Jaaoge,1998,36,8
Chaahat,1971,116,43
Hum Tum Pe Marte Hain,1999,10,11
City Lights,2014,19,6
Log Kya Kahenge,1982,0,1
Arth (film),1982,6,67
Aa Gale Lag Jaa (1994 film),1994,26,10
Insaniyat (1994 film),1994,11,0
Thodisi Bewafaii,1980,63,35
Ghar Ho To Aisa,1990,101,115
Man Pasand,1980,28,16
Anokhi Ada,1973,14,4
Mere Brother Ki Dulhan,2011,29,20
Papa Kehte Hai,1996,0,18
Hello Brother,1999,74,14
Nazar Ke Samne,1994,7,1
Pyar ka Punchnama,2011,26,20
Hattrick,2007,10,12
Khel Khel Mein,1975,25,36
Wanted: Dead or Alive,1984,8,3
Teraa Surroor,2016,41,0
Krishna Cottage,2004,36,53
Trishul,1978,46,30
Abdullah,1980,34,3
Aankhen (1993 film),1993,9,0
Arjun Pandit (1999 film),1999,170,68
Strangers (2007 Bollywood film),2007,8,0
Humjoli,1970,6,6
Pyasa Shaitan,1984,0,0
Yeh Gulistan Hamara,1972,12,10
Veerana,1988,153,144
Aafat,1977,9,3
Dishoom,2016,77,2
Mera Saathi,1985,41,3
Murder 3,2013,25,48
Ra.One,2011,12,11
Hadh Kar Di Aapne,2000,9,17
Bodyguard,2011,49,82
Ek Aur Ek Gyarah,1981,21,14
Black Mail,1973,5,9
Mohabbatein,2000,77,18
Yeh Saali Zindagi,2011,52,9
Samrat & Co.,2014,10,2
Ek Villain,2014,61,36
Jodi Breakers,2012,50,41
Jigyaasa,2006,0,11
Good Boy  Bad Boy,2007,14,3
Namastey London,2007,29,30
Miss Tanakpur Haazir Ho,2015,24,2
Ram Teri Ganga Maili,1985,12,26
Prem Ratan Dhan Payo,2015,88,24
Dil Hi Dil Mein,1982,122,53
Out of Control,2003,0,43
Aan: Men at Work,2004,23,0
Deewaar,1975,68,31
Sunday,2008,45,49
Alone,2015,24,96
Trishna,1978,12,11
Gauri: The Unborn,2007,1,1
Hum Ho Gaye Aapke,2001,11,8
Paathshaala,2010,14,0
Paappi Devataa,1995,20,1
Murder,2004,48,29
Koi Mere Dil Mein Hai,2005,0,5
Khoon Bhari Maang,1988,21,50
Chalte Chalte,1976,7,14
Vaastav: The Reality,1999,84,4
Karthik Calling Karthik,2010,56,11
Mashaal,1984,74,9
Chaahat (1996 film),1996,53,27
Jaanwar (1999 film),1999,173,23
Saazish (1988 film),1988,5,0
Mumbai Meri Jaan,2008,38,7
Tom Dick And Harry,2006,12,2
Munna Bhai M.B.B.S.,2003,51,20
Ghajini,2008,107,42
Bajatey Raho,2013,17,3
Farz Aur Kanoon,1982,66,2
Chupp,1997,18,19
Kismat (1995 film),1995,4,6
Saanjh,2017,1,0
Khilona,1970,42,21
Bombay 405 Miles,1980,2,0
Saath Saath,1982,11,3
Shodh,1979,7,0
Insan,2005,56,6
Angaaray (1998 film),1998,102,11
Yeh Hai Mumbai Meri Jaan,1999,3,7
Firaaq,2009,14,4
Blood Brothers,2007,8,0
Sssshhh...,2003,74,78
Junoon,1992,130,15
Mili,1975,10,14
Teen Thay Bhai,2011,2,0
Army,1996,7,14
Angaaray,1986,27,15
Chand Ke Paar Chalo (film),2006,20,6
The Stoneman Murders,2009,49,2
Tathastu,2006,88,26
Jaaneman (1976 film),1976,44,49
Do Aur Do Paanch,1980,22,0
Chintu Ji,2009,9,0
Anamika (2008 film),2008,9,17
Kuch Tum Kaho Kuch Hum Kahein,2002,77,10
Heroes,2008,19,0
Ganga Aur Ranga,1994,3,0
Shukriya,2004,11,18
Hindustan Ki Kasam,1973,3,9
Bees Saal Baad,1988,18,24
Farishtay,1991,3,6
Hum Hain Rahi Pyar Ke,1993,43,36
Albert Pinto Ko Gussa Kyoon Aata Hai,1980,9,0
Bade Dil Wala,1983,23,13
Krazzy 4,2008,29,22
Kucch Luv Jaisaa,2011,4,15
Aabra Ka Daabra,2004,1,2
Naam Shabana,2017,30,31
Dabangg 2,2012,52,6
Chandni Bar (2001 film),2001,13,63
Ek Anari Do Khiladi,1996,61,30
Achanak (1998 film),1998,14,4
Mission Istaanbul,2008,92,16
Luv Shuv Tey Chicken Khurana,2012,14,4
Khubsoorat,1980,18,37
Yeh Dooriyan,2011,1,7
Safed Haathi,1977,1,15
Insaaf (1997 film),1997,12,9
Yes Boss,1997,25,16
Loveshhuda,2016,35,32
Purani Jeans,2014,43,13
Hero (2015 Hindi film),2015,43,28
Shatranj,1993,24,1
Maan Gaye Mughal-e-Azam,2008,4,0
Ghulam-E-Mustafa,1997,61,17
Madadgaar,1987,14,6
Maine Pyaar Kyun Kiya?,2005,27,24
Billa No. 786,2000,0,0
All Is Well,2015,25,60
Ghazab Tamasha,1992,0,0
Jaani Dushman:
Ek Anokhi Kahani,2002,32,23
Papi Gudia,1996,9,0
Sau Crore,1991,3,0
Raja Hindustani,1996,27,30
Muqaddar Ka Sikander,1978,94,72
Daman: A Victim of Marital Violence,2001,19,4
Victoria No. 203,1972,5,4
Preet Na Jane Reet,1984,10,25
Aakhri Sangram,1984,14,5
Barah Aana,2009,16,0
Trinetra,1991,13,8
Haseena: The Queen of Mumbai,2017,0,1
Kyaa Kool Hain Hum 3,2016,26,4
Tum Bin - Love Will Find a Way,2001,71,16
Ansh: The Deadly Part,2002,19,0
23rd March 1931: Shaheed,2002,16,1
Ghulam,1998,253,13
Anjaane (2005 film),2005,4,4
Hazaaron Khwaishein Aisi,2005,105,37
Swami (2007 film),2007,77,36
Wanted,2009,78,12
Gundagardi,1997,3,0
Maine Gandhi Ko Nahin Mara,2005,14,9
Julie,1975,8,36
Maqbool,2004,33,6
Krishna-Krishna,1986,6,2
Chaand Kaa Tukdaa,1994,4,2
Jaal (1986 film),1986,31,1
Black and White,2008,19,1
Naach (2004 film),2004,0,25
Yaadein (2001 film),2001,21,8
Gayab,2004,79,28
Naqaab,2007,33,44
Phoonk 2,2010,32,20
Kaal,2005,9,2
Apaharan,2005,91,0
Yeh Desh,1984,11,0
Bandh Darwaza,1990,127,98
Trishagni,1988,2,2
Benaam Badsha,1991,4,14
Ilzaam,1986,11,9
Sawan Ko Aane Do,1979,0,1
Taxi No. 9211,2006,70,1
Mere Dost Picture Abhi Baki Hai,2012,29,0
Geraftaar,1985,80,91
Ankur Arora Murder Case,2013,4,6
Khiladiyon Ka Khiladi,1996,20,16
Raja Jani,1972,2,4
Parwana,1971,15,7
Agni Sakshi,1996,57,71
Mehndi (1998 film),1998,91,167
Aaina (1993 film),1993,9,22
Holiday,2006,4,16
Gangaajal,2003,129,2
The Blueberry Hunt,2016,2,0
Yamla Pagla Deewana 2,2013,64,34
Humse Badhkar Kaun,1998,1,0
Kamaal Dhamaal Malamaal,2012,118,0
Manjunath,2014,0,0
Maqsad,1984,27,8
Apne,2007,30,0
Nasoor,1985,18,1
Jahan Tum Le Chalo,1999,20,14
Chhupa Rustam,1973,9,15
Dulha Mil Gaya,2010,37,27
Indrajeet,1991,7,4
Yeh Nazdeekiyan,1982,7,11
Inkaar (2013 film),2013,5,6
One 2 Ka 4,2001,81,7
Bandit Queen (1994 film),1994,71,63
Yugandhar (1993 film),1993,2,0
Aagey Se Right,2009,36,9
Sarkar 3,2017,59,0
Dulhan,1974,6,20
LOC Kargil,2003,92,0
Neighbours: They Are Vampires,2014,0,0
Main Aurr Mrs Khanna,2009,35,31
Gandhi to Hitler,2011,6,0
Na Ghar Ke Na Ghaat Ke,2010,3,20
Shamitabh,2015,62,17
Naina (2005 film),2005,0,15
Total Siyapaa,2014,1,1
Singh Is Kinng,2008,23,15
Dil Hai Ke Manta Nahin,1991,34,37
Naram Garam,1981,26,15
Asambhav,2004,94,16
Radio,2009,14,14
Jeevan Dhaara,1982,1,22
Taare Zameen Par,2007,98,0
Khamosh Pani,2004,21,40
Double Dhamaal,2011,27,0
Zor,1998,80,0
Yuvvraaj,2008,62,6
Chhote Sarkar (1996 film),1996,14,0
Shaitan,2011,81,37
Holiday: A Soldier Is Never Off Duty,2014,41,5
Chupke Chupke,1975,30,16
Raaj Tilak,1984,0,0
Akhiyon Se Goli Maare,2002,6,18
Police Force: An Inside Story,2004,0,0
Raaz Reboot,2016,33,11
Hungama,2003,94,33
Prem Rog,1982,17,14
Bade Miyan Chote Miyan,1998,13,6
Dhoom 3,2013,176,18
Bhrashtachar,1989,6,2
Hate Story 2,2014,45,21
Bhoothnath,2008,52,6
Ghost,2012,24,3
F.A.L.T.U,2011,10,0
Darna Zaroori Hai,2006,0,1
Barfi!,2012,56,54
Agni Varsha,2002,56,26
Rivaaj,1972,18,37
Censor,2001,13,0
Dear Maya,2017,0,1
Dev,2004,51,2
Zabardast,1985,27,5
Ram Gopal Varma Ki Aag,2007,16,0
Hamari Adhuri Kahani,2015,94,29
Ghungroo Ki Awaaz,1981,3,6
Prem Vivah,1979,0,19
Ehsaas: The Feeling,2001,17,4
Yaadon Ki Baaraat,1973,26,0
Zakhmi Sher,1984,48,3
The Prince of Light,2000,333,6
Commando-A One Man Army,2013,66,10
Sarkar Raj,2008,36,30
Bhabhi,1991,17,7
Gardish,1993,19,7
Utt Pataang,2011,19,10
Safar (film),1970,19,35
Classic Dance of Love,2005,6,7
English Babu Desi Mem,1996,1,0
Lage Raho Munna Bhai,2006,81,6
Kudrat,1981,46,19
Biwi Ho To Aisi,1988,0,35
Himmat (1996 film),1996,15,4
Bairaag,1976,48,4
Creature 3D,2014,26,16
Santaan,1993,4,0
Via Darjeeling,2008,8,4
Aaj Ka Ravan,2000,9,0
Yeh Lamhe Judaai Ke,2004,15,17
Ladki,1989,23,24
Ek Nai Paheli,1984,4,3
Bubble Gum,2011,7,3
Pyar Jhukta Nahin,1985,40,29
Shiva,1990,13,36
Gaja Gamini,2000,9,7
8 x 10 Tasveer,2009,53,9
Jaane Kahan Se Aayi Hai,2010,16,0
Aasha,1980,25,26
Dalaal,1993,17,1
Yamla Pagla Deewana,2011,130,23
Baaghi (2016 film),2016,58,23
Karz,1980,63,37
Dangerous Ishq,2012,31,40
Naseeb (1981 film),1981,45,12
Prem Granth,1996,28,33
Buddha Mil Gaya,1971,4,0
Soorma Bhopali,1988,16,2
Hyderabad Blues,1998,2,0
Main Hoon Rajinikanth,2015,4,3
I  Me  aur Main,2013,25,15
Aasoo Bane Angaarey,1993,32,66
Kahaani,2012,49,30
Azhar (film),2016,46,11
Sangdil Sanam,1994,59,23
Milenge Milenge,2010,20,32
Jai Gangaajal,2016,25,4
Bittoo Boss,2012,0,0
Sanam Bewafa,1991,24,0
Main Tera Dushman,1989,17,6
Bombay (1995 film),1995,49,23
Welcome 2 Karachi,2015,14,0
Dharkan,1972,28,0
Chaar Sahibzaade: Rise of Banda Singh Bahadur,2016,18,0
Kachche Dhaage,1973,1,5
Irada (2017 film),2017,2,2
Kabhi Na Kabhi,1998,26,2
Dehraadun Diary,2013,10,55
Aaj Ke Shahenshah,1990,12,39
1920,2008,43,38
Sanam Re,2016,28,13
Chowkidar,1974,35,33
3 Deewarein,2003,3,0
Gharaonda,1977,21,9
Deewaanapan,2001,34,2
Dasvidaniya,2008,18,0
Hote Hote Pyar Ho Gaya,1999,21,19
Jyoti,1981,17,8
Chandni,1989,52,40
ABCD 2,2015,63,9
Chashme Buddoor,1981,12,5
Hu Tu Tu,1999,30,5
Zindagi,1976,14,15
Naukar Biwi Ka,1983,20,15
Saawan... The Love Season,2006,12,6
Do Dil Diwane,1981,12,4
Jodhaa Akbar,2008,32,4
Chance Pe Dance,2010,4,22
Sanam Teri Kasam (2016 film),2016,70,92
Asha Jyoti,1984,67,51
Anjaana Anjaani,2010,37,38
Pagla Kahin Ka,1970,19,3
Gulaab Gang,2014,0,23
Neeyat,1980,12,15
Hanuman,2005,3,0
Prem Pratigyaa,1989,16,11
Hate Story 3,2015,52,22
Mafia,1996,5,3
Pushpak,1988,35,14
Sir,1993,11,15
Chori Chori,2003,12,15
Beti No.1,2000,17,31
Dharam Sankat Mein,2015,21,9
Shaadi Ka Laddoo,2004,4,3
Tumsa Nahin Dekha (2004 film),2004,24,0
Sacred Evil  A True Story,2006,0,8
Mr. India,1987,52,11
Finding Fanny,2014,68,80
MSG-2:The Messenger,2015,41,0
Chura Liyaa Hai Tumne,2003,2,15
Kareeb,1998,63,37
Dhanwan (1993 film),1993,0,0
Raees (film),2017,73,2
Kohraa,1993,6,13
Socha Na Tha,2004,25,30
College Girl (1990 film),1990,7,5
Filhaal,2002,14,34
Madras Cafe,2013,60,18
Ek Second... Jo Zindagi Badal De?,2010,0,0
Saathi,1991,28,0
Insaaf Main Karoonga,1985,36,3
Rakhi Aur Hathkadi,1972,25,4
Apna Desh,1972,4,0
Chorni,1982,30,83
Bol Radha Bol,1992,110,31
Marigold,2007,73,10
Parichay (film),1972,27,0
Bhaji on the Beach,1993,4,18
Baaz,1992,15,10
The Living Corpse,1986,18,2
Sutradhar,1987,11,5
Geetanjali,1993,17,22
2 States (film),2014,52,37
Waris Shah: Ishq Daa Waaris,2006,30,6
Yaraana,1981,36,5
Singham Returns,2014,32,3
Khosla Ka Ghosla,2006,62,6
Life in a Metro,2007,62,68
100 Days,1991,50,93
Ek Mahal Ho Sapno Ka,1975,13,1
Doodh Ka Karz,1990,2,0
Sapne Sajan Ke,1992,15,9
Teree Sang,2009,0,19
Little Zizou,2009,7,7
Bhai Ho To Aisa,1972,25,1
Rocket Singh: Salesman of the Year,2009,21,3
Ishq Ke Parindey,2015,0,1
Love in Bombay,2013,1,4
Blue,2009,134,22
Gunahon Ka Devta,1990,4,0
Jaane Hoga Kya,2005,30,2
Sixteen,2013,50,74
Tum Haseen Main Jawaan,1970,10,6
Sharafat Gayi Tel Lene,2015,40,3
A Wednesday!,2008,46,2
Tumko Na Bhool Paayenge,2002,187,10
Diya Aur Toofan(1995 film),1995,3,0
Raja (1995 film),1995,63,26
Road,2002,27,10
Patiala House,2011,53,2
Accident on Hill Road,2009,7,7
Dil Pe Mat Le Yaar,2000,17,0
Sadgati,1981,2,1
Dharavi,1992,8,0
Dil Kabaddi,2008,1,0
Drohi,1992,10,2
